년주,감,감귤,건고추,건멸치,고구마,굴,김,대파,딸기,마늘,무,물오징어,바나나,방울토마토,배,배추,복숭아,사과,상추,새우,수박,시금치,쌀,양파,오렌지,오이,전복,참다래,참외,찹쌀,체리,토마토,포도
202401,,9558128981.0,,,,,3599317275.0,2067095905.0,15763533928.0,,,,3613239422.0,1889719477.0,,,,5105198550.0,,,,,6806885133.0,1977078428.0,,,,,,,,,3309492590.0
202402,,8601562096.0,,,1682476709.0,,5898963563.0,2046244609.0,14368950545.0,,,,2933803055.0,,,,,7262807751.0,,,,,6322150290.0,1799013966.0,,,,,,,,,2305128563.0
202403,,10446238253.0,,,,,5022685693.0,2322550528.0,15179173529.0,,,,3403804024.0,,2095618320.0,,,7684602522.0,,,,,6819377376.0,,,,,,,,,1950144971.0,2575566813.0
202404,,8690035216.0,,,,,4391645005.0,1919488810.0,10367963980.0,,,,3189044552.0,,2460152177.0,,,8423538859.0,,,,,6873242629.0,1972076381.0,,,,,,,,,2126272614.0
202405,,9211262105.0,,,,,6360216007.0,,10862095947.0,2234264900.0,,,3665421903.0,,6238801364.0,,,12916052088.0,,,,,9235830790.0,2302016244.0,,,,,,,,,2345466025.0
202406,,10239929687.0,,,,,6234124042.0,2327690637.0,10987269134.0,,,,2808744661.0,,6061485923.0,,,11725395193.0,,,,2666512340.0,6652711070.0,,,,,,,,,,5660069190.0
202407,,4025446458.0,,,,,2068742533.0,,10516101821.0,,,,3135607465.0,1698596774.0,,,,3055501075.0,,,,,5667886698.0,1640943165.0,2662122355.0,,,,,,,,1679797971.0
202408,,3362915846.0,,,,,1936208070.0,,8662064148.0,,,,2909458823.0,1465166595.0,,,,3221247734.0,,,,,4798904058.0,1465340766.0,2604120979.0,,,,,,,1444955314.0,
202409,,4774511846.0,,,,,2516743362.0,,14787064319.0,2579153982.0,,,4465521538.0,,,,,8476134115.0,,,,,7546935066.0,,,,,,6301207856.0,3637032037.0,,2743427630.0,
202410,,5341645698.0,,,3266241180.0,,,,15564936605.0,2440736223.0,,,4760152315.0,2279516585.0,,,,5009706390.0,,,,,8405574810.0,3139347764.0,2300394056.0,,,,,,,,
202411,,3099847078.0,,,,,,,10524981162.0,,,,4452427354.0,,,,,3653284722.0,,,,,9452556947.0,2371629845.0,5313802753.0,,,,4871047395.0,,,2929974795.0,2350024979.0
202412,,2340002779.0,,,,,,,9423893289.0,,,,2389386732.0,2498934955.0,,,,2190975803.0,,,,,7259906312.0,,4552345136.0,,,,4943308575.0,,,2303987457.0,2152616401.0
202413,,,,,,,2862087599.0,,8016743533.0,,,,3841654468.0,2557430614.0,,,,4579105250.0,,,,,9214657259.0,2392444481.0,3965446176.0,,,,6040434540.0,,,3213013991.0,
202414,,,,,4267530603.0,,,,10269839201.0,2771958046.0,,,5969451355.0,3090221052.0,,,,7469193928.0,,,,,15444104125.0,,7124537444.0,2884360365.0,,,13130583985.0,,,,
202415,,,,,,,2889065298.0,,5355026029.0,,,,3868955712.0,2503579197.0,,,,4628413074.0,,,,,8439377581.0,2850132788.0,3859394871.0,,,,7511203333.0,,,2750556233.0,
202416,,,,,,,2373558772.0,,4319766133.0,,,,3732467197.0,2877814629.0,,,,4336826764.0,,,2328518520.0,,7175815525.0,2328994310.0,2941195949.0,,,,6507270383.0,,,,
202417,,,,,,,2860589337.0,,3572144298.0,,,,3898731232.0,2755780661.0,,,,4303290256.0,,,3840890791.0,,8508665541.0,,2873742643.0,,,,6451801966.0,,,2594310157.0,
202418,,,,,,,3047414430.0,,3901127160.0,,,,4110945220.0,5110443319.0,,,,5289683457.0,,,8156096361.0,,6665096570.0,,,4431630948.0,,3691131220.0,5399046556.0,,,,
202419,,,,,,,,,3730344643.0,,,,3581068780.0,,,,,2767266475.0,,,3468029874.0,,7145144968.0,2334142509.0,3199927715.0,2851849803.0,,4290769332.0,4997147868.0,,,,
202420,,,,,,,2905943600.0,,,3824900453.0,,,4123923093.0,3703005081.0,,,,4420206840.0,,,15122744171.0,,6554018158.0,,,2436947037.0,,2359245509.0,4707189734.0,,,,
202421,,,,,,,2422738977.0,,,3484265330.0,,,3334856127.0,3477614351.0,,,,3848166408.0,,,14069165371.0,,5658036186.0,,,,,2378416507.0,3623124629.0,,2767754448.0,,
202422,,,,,,,3188466855.0,,,3024607262.0,,,3589442132.0,3995070479.0,,,,5002896951.0,,,18844550613.0,,7103837219.0,,,,,,4121218790.0,,4979223286.0,3518348045.0,
202423,,,,,,,2741903548.0,,,,,2243077792.0,3090106082.0,4325441933.0,,,,3706529398.0,,,20383072147.0,,6584007126.0,,,,,,3647476226.0,,5500307666.0,2796035996.0,
202424,,,,,,,2736295313.0,,,,,2363914222.0,2969209077.0,3631863872.0,,,,3423509297.0,,,23540129688.0,,6097920169.0,,,,,,3432052266.0,,3001953927.0,2336410733.0,
202425,,,,,,,2427490121.0,,,,,,2566817345.0,2709719672.0,,,2596323355.0,3066626038.0,,,19151902007.0,,5250637962.0,,,1830081838.0,,,2633008903.0,,,1768347913.0,
202426,,,,,,,3159162656.0,,,1727887089.0,,,2550424186.0,2937768366.0,,,3746402918.0,3351522158.0,,,17963340407.0,,6730195636.0,,,1759509617.0,,,2305151334.0,,,,
202427,,,,,,,3294050000.0,,,1630046960.0,,,2380335414.0,2212190989.0,,,3827539790.0,2965220627.0,,,13620754810.0,,7049101851.0,,,,,,1860743167.0,,3054108360.0,,
202428,,,,,,,2792361419.0,,,1812906753.0,,,2103603229.0,,,,5222898689.0,2726025119.0,,,12008579072.0,,6168179374.0,,,,6134889349.0,,,,1953703356.0,1562111167.0,
202429,,,,,,,3321574045.0,,,1882793634.0,,,2431806031.0,,,,6524759956.0,3233456572.0,,,11671368033.0,,6411943348.0,,,1801526284.0,3997957396.0,,,,,,3271338892.0
202430,,,,,,,3005160014.0,,,,,2106218529.0,2551175040.0,,,,10511842918.0,4493945707.0,,,7221563761.0,,4947343275.0,,,1870652861.0,3256749577.0,,,,,,3680073561.0
202431,,,,,,,3757388831.0,,,,,2484865829.0,3023189999.0,,,,11966618284.0,5500917410.0,,2353951883.0,9414767418.0,,6137590450.0,,,2310626423.0,,,,,,,6347148490.0
202432,,,,,,,3363986777.0,,,,,2306996899.0,3192533285.0,,,,11154634063.0,5207549535.0,,,7062855526.0,,5804056174.0,,,2197813603.0,2719491182.0,,,,,,6392809060.0
202433,,,,,,,4199529480.0,,,,,,3563430000.0,,,,13128443300.0,5942031762.0,,2600709616.0,6714812668.0,,6205505838.0,,,,2765844050.0,3617366681.0,,,,,9880095118.0
202434,,,,,,,6700727030.0,,,,,2863042987.0,3282155500.0,,2216574114.0,,9608135178.0,11815795587.0,,,3251917218.0,,5466035266.0,,,,,3441526521.0,,,,,8310455182.0
